idinmueble,cct1,cct2,cct3,cct4,inmueble,principal,alcaldia,coord_x,coord_y,matricula_siieweb,matricula_911,matricula_base_2024_2025,fuente_matricula_base,nivel_proyeccion,participacion_grupo,tasa_ajustada_pct,estado_proyeccion,CVEGEO_AGEB,CVE_MUN,CVE_AGEB,mat_2024_2025,mat_2035_2036,crecimiento_2024_2025_a_2025_2026_pct,crecimiento_2025_2026_a_2026_2027_pct,crecimiento_2026_2027_a_2027_2028_pct,crecimiento_2027_2028_a_2028_2029_pct,crecimiento_2028_2029_a_2029_2030_pct,crecimiento_2029_2030_a_2030_2031_pct,crecimiento_2030_2031_a_2031_2032_pct,crecimiento_2031_2032_a_2032_2033_pct,crecimiento_2032_2033_a_2033_2034_pct,crecimiento_2033_2034_a_2034_2035_pct,crecimiento_2034_2035_a_2035_2036_pct,cambio_absoluto_2024_2025_a_2035_2036,crecimiento_acumulado_2024_2025_a_2035_2036_pct,tasa_media_anual_pct,tendencia_general,observaciones
800266,09DSN0020C,,,,PIONEROS DEL COOPERATIVISMO,Secundaria,Azcapotzalco,-99.185277,19.475208,16,5,16,SIIEWEB,Secundaria,0.0011387089886840795,-2.6216,OK,0900200010472,002,0472,17,13,0.0,0.0,-5.8824,0.0,-6.25,0.0,-6.6667,0.0,0.0,-7.1429,0.0,-4.0,-23.5294,-2.4093,Disminución,Diferencia entre SIIEWeb (16) y Estadística 911 (5); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800379,09DML0103T,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 11,Especial - CAM,Benito Juárez,-99.157272,19.365917,41,41,41,Iguales,Especial,0.09761904761904762,2.4301,OK,0901400010844,014,0844,181,236,2.7624,2.1505,2.6316,2.0513,2.5126,2.451,2.3923,2.3364,2.7397,2.2222,2.6087,55.0,30.3867,2.4415,Crecimiento,Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800482,09DSN0037C,,,,MARIANO AZUELA,Secundaria,Benito Juárez,-99.14225,19.36826,68,63,68,SIIEWEB,Secundaria,0.008602150537634409,-3.2668,OK,0901400010774,014,0774,127,89,-3.1496,-3.252,-3.3613,-2.6087,-3.5714,-3.7037,-2.8846,-2.9703,-3.0612,-4.2105,-2.1978,-38.0,-29.9213,-3.1806,Disminución,Diferencia entre SIIEWeb (68) y Estadística 911 (63); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800530,09DML0034N,,,,INSTITUTO NACIONAL PARA LA REHABILITACIÓN DE NIÑOS CIEGOS Y DÉBILES VISUALES,Especial - CAM,Coyoacán,-99.162142,19.357093,90,90,90,Iguales,Especial,0.09879253567508232,1.068,OK,0900300010037,003,0037,341,383,0.8798,1.1628,1.1494,1.1364,0.8427,1.1142,1.1019,1.0899,1.0782,1.0667,1.0554,42.0,12.3167,1.0615,Crecimiento,Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800673,09DML0036L,,,,CENTRO DE ATENCIÓN MÚLTIPLE NO. 73,Especial - CAM,Coyoacán,-99.133815,19.350195,80,72,80,SIIEWEB,Especial,0.08781558726673985,1.068,OK,0900300010179,003,0179,303,341,0.9901,0.9804,1.2945,0.9585,0.9494,1.2539,0.9288,1.227,0.9091,1.2012,1.1869,38.0,12.5413,1.0799,Crecimiento,Diferencia entre SIIEWeb (80) y Estadística 911 (72); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800914,09DJN1079R,,,,REP. ESPAÑOLA,Preescolar,Cuauhtémoc,-99.131558,19.451552,81,78,81,SIIEWEB,Preescolar,0.013735797863320333,-4.6326,OK,0901500010339,015,0339,151,90,-4.6358,-4.8611,-4.3796,-4.5802,-4.8,-4.2017,-5.2632,-4.6296,-3.8835,-5.0505,-4.2553,-61.0,-40.3974,-4.5953,Disminución,Diferencia entre SIIEWeb (81) y Estadística 911 (78); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800946,09DBA0021Y,09DBS0033B,,,DR. LEOPOLDO SALAZAR VINIEGRA,Adultos - CEDEX,Cuauhtémoc,-99.137714,19.423304,37,55,55,911,Adultos,0.7746478873239436,-5.6273,OK,0901500011040,015,1040,74,40,-5.4054,-5.7143,-4.5455,-6.3492,-5.0847,-5.3571,-5.6604,-8.0,-4.3478,-4.5455,-4.7619,-34.0,-45.9459,-5.4391,Disminución,Diferencia entre SIIEWeb (37) y Estadística 911 (55); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800949,09DES1000O,09DES1001N,,,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,Secundaria,Cuauhtémoc,-99.161421,19.442539,1047,1044,1047,SIIEWEB,Secundaria,0.06227324094450723,-2.4639,OK,0901500010593,015,0593,1265,962,-2.4506,-2.4311,-2.4917,-2.4702,-2.4454,-2.5067,-2.3875,-2.54,-2.4131,-2.4728,-2.4341,-303.0,-23.9526,-2.4585,Disminución,Diferencia entre SIIEWeb (1047) y Estadística 911 (1044); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
801403,09DJN0075O,,,,FELIPE CARRILLO PUERTO,Preescolar,Iztacalco,-99.0978,19.386066,61,70,70,911,Preescolar,0.012706480304955527,-4.127,OK,0900600011130,006,1130,101,64,-3.9604,-4.1237,-4.3011,-3.3708,-4.6512,-3.6585,-5.0633,-4.0,-4.1667,-4.3478,-3.0303,-37.0,-36.6337,-4.0628,Disminución,Diferencia entre SIIEWeb (61) y Estadística 911 (70); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
801557,09DML0040Y,09DML0132O,,,CAM 20 HELLEN KELLER,Especial - CAM,Iztapalapa,-99.091725,19.351988,130,118,130,SIIEWEB,Especial,0.07817197835237523,3.5745,OK,0900700013967,007,3967,923,1359,3.5753,3.6611,3.5318,3.5088,3.5782,3.6364,3.5965,3.5563,3.5977,3.5517,3.5823,436.0,47.2373,3.5796,Crecimiento,Diferencia entre SIIEWeb (130) y Estadística 911 (118); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
801796,09DDI0041B,,,,OLLIN CALLI,Inicial,Iztapalapa,-99.087709,19.306655,40,40,40,Iguales,Inicial,0.11904761904761904,-3.4046,OK,0900700015624,007,5624,173,118,-3.4682,-3.5928,-3.1056,-3.8462,-3.3333,-3.4483,-3.5714,-2.963,-3.0534,-3.937,-3.2787,-55.0,-31.7919,-3.4184,Disminución,Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802005,09DTV0106G,,,,TELESECUNDARIA 106,Secundaria,Iztapalapa,-99.091856,19.352515,33,37,37,911,Secundaria,0.0005071897575084646,-1.7716,OK,0900700013967,007,3967,40,33,0.0,-2.5,-2.5641,0.0,-2.6316,-2.7027,0.0,-2.7778,-2.8571,0.0,-2.9412,-7.0,-17.5,-1.7336,Disminución,Diferencia entre SIIEWeb (33) y Estadística 911 (37); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802097,09DPR1839Z,09DPR0837U,09DPR1840O,,"ESC. PRIM. ANEXA A LA BENM ""LUIS HIDALGO MONROY""",Primaria,Miguel Hidalgo,-99.170178,19.447022,728,740,740,911,Primaria,0.04096092106719805,-2.2024,OK,0901600010088,016,0088,1104,864,-2.1739,-2.2222,-2.178,-2.2265,-2.1782,-2.2267,-2.1739,-2.2222,-2.1645,-2.2124,-2.2624,-240.0,-21.7391,-2.2037,Disminución,Diferencia entre SIIEWeb (728) y Estadística 911 (740); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802104,09DCO0027U,09DCO0028T,,,CLÍNICA DE LA CONDUCTA,Especial - CAM,Miguel Hidalgo,-99.20508,19.432193,0,184,184,911,Especial,0.12340710932260228,1.7831,OK,0901600010637,016,0637,355,431,1.6901,1.662,1.9074,1.8717,1.8373,1.5464,2.0305,1.7413,1.7115,1.6827,1.8913,76.0,21.4085,1.7792,Crecimiento,Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802112,09DPR1733F,09DBN0048I,,,CENTRO ESCOLAR MÉXICO,Primaria,Miguel Hidalgo,-99.194349,19.448777,240,289,289,911,Primaria,0.015996900254621943,-2.2024,OK,0901600011349,016,1349,431,338,-2.0882,-2.3697,-2.1845,-1.9851,-2.2785,-2.3316,-2.122,-2.168,-2.2161,-2.2663,-2.029,-93.0,-21.5777,-2.1854,Disminución,Diferencia entre SIIEWeb (240) y Estadística 911 (289); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802599,09DJN1078S,,,,VENUSTIANO CARRANZA,Preescolar,Venustiano Carranza,-99.115043,19.418168,56,53,56,SIIEWEB,Preescolar,0.011017115876450915,-4.0459,OK,0901700010920,017,0920,99,63,-4.0404,-4.2105,-4.3956,-3.4483,-4.7619,-3.75,-3.8961,-4.0541,-4.2254,-4.4118,-3.0769,-36.0,-36.3636,-4.0257,Disminución,Diferencia entre SIIEWeb (56) y Estadística 911 (53); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802664,09DPR2112F,,,,VOCEADORES DE MÉXICO,Primaria,Venustiano Carranza,-99.100556,19.419643,75,87,87,911,Primaria,0.003353764311321846,-2.746,OK,0901700010992,017,0992,102,75,-2.9412,-2.0202,-3.0928,-3.1915,-2.1978,-2.2472,-3.4483,-2.381,-2.439,-3.75,-2.5974,-27.0,-26.4706,-2.7566,Disminución,Diferencia entre SIIEWeb (75) y Estadística 911 (87); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802800,09DJN0929U,09DJN1406V,,,PALMATITLA,Preescolar,Gustavo A. Madero,-99.136892,19.551271,187,196,196,911,Preescolar,0.010768639085764519,-4.0449,OK,0900500013089,005,3089,267,169,-4.1199,-3.9062,-4.065,-4.2373,-3.9823,-4.1475,-3.8462,-4.0,-4.1667,-3.8043,-4.5198,-98.0,-36.7041,-4.0725,Disminución,Diferencia entre SIIEWeb (187) y Estadística 911 (196); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802803,09DML0104S,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 39,Especial - CAM,Benito Juárez,-99.14246,19.368383,92,92,92,Iguales,Especial,0.21904761904761905,2.4301,OK,0901400010774,014,0774,407,529,2.2113,2.4038,2.5822,2.5172,2.4554,2.3965,2.3404,2.4948,2.4341,2.3762,2.3211,122.0,29.9754,2.412,Crecimiento,Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802804,09DJN1236R,,,,GUTY CARDENAS,Preescolar,Álvaro Obregón,-99.254611,19.357417,164,211,211,911,Preescolar,0.024305955535076605,-3.5666,OK,090100001231A,010,231A,371,249,-3.504,-3.6313,-3.4783,-3.6036,-3.7383,-3.5599,-3.3557,-3.8194,-3.2491,-3.7313,-3.4884,-122.0,-32.8841,-3.5601,Disminución,Diferencia entre SIIEWeb (164) y Estadística 911 (211); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802805,09DML0119U,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 99,Especial - CAM,Azcapotzalco,-99.151735,19.472343,50,51,51,911,Especial,0.1495601173020528,4.1299,OK,0900200010561,002,0561,354,552,4.2373,4.065,3.9062,4.2607,4.0865,4.157,4.2129,4.0426,4.09,4.1257,4.1509,198.0,55.9322,4.1213,Crecimiento,Diferencia entre SIIEWeb (50) y Estadística 911 (51); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802806,09DML0058X,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 87,Especial - CAM,Cuauhtémoc,-99.132153,19.456066,43,33,43,SIIEWEB,Especial,0.06099290780141844,6.0,OK,0901500010150,015,0150,174,330,5.7471,5.9783,6.1538,6.2802,5.9091,6.0086,6.0729,5.7252,6.1372,5.7823,6.1093,156.0,89.6552,5.9911,Crecimiento,Diferencia entre SIIEWeb (43) y Estadística 911 (33); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802807,09DML0117W,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 97,Especial - CAM,Miguel Hidalgo,-99.16938,19.437729,46,43,46,SIIEWEB,Especial,0.03085177733065057,1.7831,OK,090160001050A,016,050A,89,108,1.1236,2.2222,1.087,2.1505,2.1053,2.0619,1.0101,2.0,1.9608,1.9231,1.8868,19.0,21.3483,1.7746,Crecimiento,Diferencia entre SIIEWeb (46) y Estadística 911 (43); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802810,09DTV0033E,,,,PROF. GUILLERMO SOLIS VELARDE,Secundaria,Coyoacán,-99.157685,19.332934,82,88,88,911,Secundaria,0.004520238339839737,-2.435,OK,0900300011158,003,1158,109,83,-2.7523,-2.8302,-1.9417,-1.9802,-3.0303,-2.0833,-3.1915,-2.1978,-2.2472,-2.2989,-2.3529,-26.0,-23.8532,-2.4469,Disminución,Diferencia entre SIIEWeb (82) y Estadística 911 (88); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802816,09DTV0060B,,,,TELESECUNDARIA 60,Secundaria,Venustiano Carranza,-99.109423,19.432046,61,56,61,SIIEWEB,Secundaria,0.0038823828920570265,-2.0441,OK,0901700010526,017,0526,68,54,-1.4706,-1.4925,-3.0303,-1.5625,-3.1746,-1.6393,-1.6667,-1.6949,-1.7241,-3.5088,-1.8182,-14.0,-20.5882,-2.0739,Disminución,Diferencia entre SIIEWeb (61) y Estadística 911 (56); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802817,09DML0037K,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 17,Especial - CAM,Coyoacán,-99.133815,19.350195,61,63,63,911,Especial,0.06915477497255763,1.068,OK,0900300010179,003,0179,239,268,0.8368,1.2448,0.8197,1.2195,0.8032,1.1952,1.1811,1.1673,1.1538,0.7605,1.1321,29.0,12.1339,1.0466,Crecimiento,Diferencia entre SIIEWeb (61) y Estadística 911 (63); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
880269,09DPR1593W,,,,MAESTRA JUANA PALACIOS,Primaria,Azcapotzalco,-99.150782,19.475421,235,269,269,911,Primaria,0.011627404365679706,-2.8423,OK,0900200010400,002,0400,327,238,-2.7523,-2.8302,-2.9126,-3.0,-2.7491,-2.8269,-2.9091,-2.6217,-3.0769,-2.7778,-2.8571,-89.0,-27.2171,-2.8468,Disminución,Diferencia entre SIIEWeb (235) y Estadística 911 (269); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
880891,09DPR0930Z,,,,QUETZALCOATL,Primaria,Cuauhtémoc,-99.132287,19.413283,138,143,143,911,Primaria,0.005339008363201911,-2.7552,OK,0901500011163,015,1163,176,129,-2.8409,-2.924,-3.012,-2.4845,-2.5478,-3.268,-2.7027,-2.7778,-2.1429,-2.9197,-3.0075,-47.0,-26.7045,-2.7848,Disminución,Diferencia entre SIIEWeb (138) y Estadística 911 (143); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
882097,09DPR1862Z,,,,"ESC. PRIM. ANEXA A LA BENM ""REPÚBLICA DEL BRASIL""",Primaria,Miguel Hidalgo,-99.170178,19.447022,373,418,418,911,Primaria,0.023137385143363224,-2.2024,OK,0901600010088,016,0088,624,488,-2.2436,-2.1311,-2.1776,-2.226,-2.2767,-2.1505,-2.1978,-2.2472,-2.2989,-2.1569,-2.2044,-136.0,-21.7949,-2.2101,Disminución,Diferencia entre SIIEWeb (373) y Estadística 911 (418); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
882603,09DPR1062H,,,,MANUEL M. PONCE,Primaria,Venustiano Carranza,-99.107805,19.439107,130,136,136,911,Primaria,0.0052426660498824254,-2.746,OK,0901700010418,017,0418,160,118,-3.125,-2.5806,-2.649,-2.7211,-2.7972,-2.8777,-2.2222,-3.0303,-3.125,-2.4194,-2.4793,-42.0,-26.25,-2.7301,Disminución,Diferencia entre SIIEWeb (130) y Estadística 911 (136); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
917103,09FLB0002N,09FLB4002O,,,CENTRAL DE LABORATORIOS Y TALLERES No. 2,Secundaria,AZCAPOTZALCO,,,0,0,0,Iguales,Secundaria,0.0,-2.6216,OK,,,,0,0,,,,,,,,,,,,0.0,,,Sin base para calcular,Sin asociación a AGEB por coordenadas faltantes o fuera de polígono. Coordenadas incompletas. Matrícula base igual a cero; los porcentajes de crecimiento no son calculables. Proyección constante en todo el horizonte. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
920354,09FLB0001O,,,,CENTRAL DE LABORATORIOS Y TALLERES No. 1 DR. ENRIQUE BELTRÁN CASTILLO,Secundaria,,,,0,0,0,Iguales,Secundaria,0.0,-2.4639,OK,,,,0,0,,,,,,,,,,,,0.0,,,Sin base para calcular,Sin asociación a AGEB por coordenadas faltantes o fuera de polígono. Coordenadas incompletas. Matrícula base igual a cero; los porcentajes de crecimiento no son calculables. Proyección constante en todo el horizonte. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
700027,09DPR0024Y,09DES0342D,,,CENTRO DE INNOVACIÓN EDUCATIVA PARA ALUMNOS CON ALTAS CAPACIDADES,Primaria,Miguel Hidalgo,-99.178787,19.401743,0,0,0,Sin dato,Primaria,0.0,-2.2024,OK,0901600011207,016,1207,0,0,,,,,,,,,,,,0.0,,,Sin base para calcular,Matrícula base igual a cero; los porcentajes de crecimiento no son calculables. Proyección constante en todo el horizonte. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800001,09DPR1842M,,,,ADOLFO RUIZ CORTINES,Primaria,Álvaro Obregón,-99.208827,19.378925,297,312,312,911,Primaria,0.008018092105263159,-2.355,OK,0901000010474,010,0474,419,322,-2.3866,-2.445,-2.2556,-2.3077,-2.3622,-2.4194,-2.4793,-2.2599,-2.3121,-2.3669,-2.4242,-97.0,-23.1504,-2.3654,Disminución,Diferencia entre SIIEWeb (297) y Estadística 911 (312); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800002,09DPR1479D,,,,ALBERTO LENZ,Primaria,Álvaro Obregón,-99.194837,19.340174,141,137,141,SIIEWEB,Primaria,0.003623560855263158,-2.355,OK,0901000011241,010,1241,189,146,-2.1164,-2.7027,-2.2222,-2.2727,-2.3256,-2.381,-2.439,-2.5,-1.9231,-2.6144,-2.0134,-43.0,-22.7513,-2.3194,Disminución,Diferencia entre SIIEWeb (141) y Estadística 911 (137); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800003,09DJN0133O,,,,AMPARO PEREYRA,Preescolar,Álvaro Obregón,-99.201919,19.358761,43,46,46,911,Preescolar,0.005298928694850823,-3.5666,OK,0901000010968,010,0968,81,54,-3.7037,-3.8462,-4.0,-2.7778,-4.2857,-2.9851,-3.0769,-3.1746,-4.918,-3.4483,-3.5714,-27.0,-33.3333,-3.6189,Disminución,Diferencia entre SIIEWeb (43) y Estadística 911 (46); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800004,09DJN0684Q,,,,ANA FRANK,Preescolar,Álvaro Obregón,-99.191272,19.342226,92,82,92,SIIEWEB,Preescolar,0.010597857389701646,-3.5666,OK,0901000011203,010,1203,162,108,-3.7037,-3.8462,-3.3333,-3.4483,-3.5714,-3.7037,-3.8462,-3.2,-3.3058,-4.2735,-3.5714,-54.0,-33.3333,-3.6189,Disminución,Diferencia entre SIIEWeb (92) y Estadística 911 (82); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800005,09DJN1121Q,,,,ANTONIO VIVALDI,Preescolar,Álvaro Obregón,-99.210786,19.380915,171,168,171,SIIEWEB,Preescolar,0.019698191452597626,-3.5666,OK,0901000011523,010,1523,301,202,-3.6545,-3.4483,-3.5714,-3.7037,-3.4615,-3.5857,-3.719,-3.4335,-3.5556,-3.6866,-3.3493,-99.0,-32.8904,-3.5609,Disminución,Diferencia entre SIIEWeb (171) y Estadística 911 (168); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800006,09DPR1741O,,,,ASOCIACION DE FERRETEROS DE MÉXICO,Primaria,Álvaro Obregón,-99.199976,19.393953,137,143,143,911,Primaria,0.0036749588815789473,-2.355,OK,0901000010116,010,0116,192,148,-2.6042,-2.139,-2.1858,-2.7933,-2.2989,-2.3529,-2.4096,-1.8519,-2.5157,-2.5806,-1.9868,-44.0,-22.9167,-2.3384,Disminución,Diferencia entre SIIEWeb (137) y Estadística 911 (143); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800007,09DPR0134D,09DPR4021B,,,AURELIO HIDALGO,Primaria,Álvaro Obregón,-99.248762,19.331728,865,936,936,911,Primaria,0.024054276315789474,-2.355,OK,0901000011699,010,1699,1256,966,-2.3885,-2.3654,-2.3392,-2.3097,-2.3643,-2.4215,-2.2978,-2.3518,-2.4085,-2.3692,-2.3256,-290.0,-23.0892,-2.3583,Disminución,Diferencia entre SIIEWeb (865) y Estadística 911 (936); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800008,09DJN1326J,,,,AVE REAL,Preescolar,Álvaro Obregón,-99.238499,19.36199,63,77,77,911,Preescolar,0.008869945858772032,-3.5666,OK,0901000011627,010,1627,135,91,-2.963,-3.8168,-3.9683,-3.3058,-3.4188,-3.5398,-3.6697,-3.8095,-2.9703,-4.0816,-3.1915,-44.0,-32.5926,-3.5221,Disminución,Diferencia entre SIIEWeb (63) y Estadística 911 (77); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800009,09DPR1761B,09DBA0115M,09DBS0024U,,BARTOLOME DE MEDINA,Primaria,Álvaro Obregón,-99.199525,19.401451,389,410,410,911,Primaria,0.010536595394736841,-2.355,OK,0901000010012,010,0012,550,423,-2.3636,-2.4209,-2.2901,-2.3438,-2.4,-2.2541,-2.3061,-2.3605,-2.4176,-2.4775,-2.3095,-127.0,-23.0909,-2.3585,Disminución,Diferencia entre SIIEWeb (389) y Estadística 911 (410); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800010,09DJN0480W,,,,BARTOLOME DE MEDINA,Preescolar,Álvaro Obregón,-99.199396,19.401494,127,144,144,911,Preescolar,0.016587950696924317,-3.5666,OK,0901000010012,010,0012,253,170,-3.5573,-3.6885,-3.4043,-3.5242,-3.653,-3.3175,-3.9216,-3.5714,-3.1746,-3.8251,-3.4091,-83.0,-32.8063,-3.5499,Disminución,Diferencia entre SIIEWeb (127) y Estadística 911 (144); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800011,09DPR1884L,09DPR1886J,,,BATALLON DE SAN PATRICIO,Primaria,Álvaro Obregón,-99.21316,19.34415,288,304,304,911,Primaria,0.0078125,-2.355,OK,0901000011171,010,1171,408,314,-2.451,-2.2613,-2.3136,-2.3684,-2.4259,-2.2099,-2.5424,-2.3188,-2.3739,-2.4316,-2.1807,-94.0,-23.0392,-2.3526,Disminución,Diferencia entre SIIEWeb (288) y Estadística 911 (304); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800012,09DPR1885K,,,,BENEMERITO DE LAS AMERICAS,Primaria,Álvaro Obregón,-99.174811,19.356951,141,161,161,911,Primaria,0.004137541118421052,-2.355,OK,0901000011006,010,1006,216,166,-2.3148,-2.3697,-2.4272,-2.4876,-2.0408,-2.6042,-2.139,-2.7322,-2.2472,-2.2989,-2.3529,-50.0,-23.1481,-2.3651,Disminución,Diferencia entre SIIEWeb (141) y Estadística 911 (161); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800013,09DES0332X,09DSN0055S,,,BICENTENARIO DE LA INDEPENDENCIA,Secundaria,Álvaro Obregón,-99.203738,19.336272,300,286,300,SIIEWEB,Secundaria,0.014900168868580511,-1.9139,OK,0901000011237,010,1237,404,327,-1.9802,-1.7677,-1.7995,-2.0942,-1.8717,-1.9074,-1.9444,-1.983,-1.7341,-2.0588,-1.8018,-77.0,-19.0594,-1.904,Disminución,Diferencia entre SIIEWeb (300) y Estadística 911 (286); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800014,09DPR1882N,09DPR1881O,,,CARMEN SERDAN,Primaria,Álvaro Obregón,-99.275783,19.330322,861,905,905,911,Primaria,0.023257606907894735,-2.355,OK,0901000011345,010,1345,1214,934,-2.3064,-2.3609,-2.418,-2.3009,-2.3551,-2.4119,-2.2814,-2.4319,-2.2931,-2.3469,-2.4033,-280.0,-23.0643,-2.3554,Disminución,Diferencia entre SIIEWeb (861) y Estadística 911 (905); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800015,09DML0111B,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 37,Especial - CAM,Coyoacán,-99.128082,19.337469,50,59,59,911,Especial,0.11847389558232932,4.1675,OK,0900300010516,003,0516,419,657,4.2959,4.119,4.1758,4.2194,4.0486,4.2802,4.1045,4.1219,4.1308,4.2975,4.1204,238.0,56.8019,4.174,Crecimiento,Diferencia entre SIIEWeb (50) y Estadística 911 (59); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800016,09DML0059W,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 6,Especial - CAM,Álvaro Obregón,-99.204095,19.343242,221,225,225,911,Especial,0.45180722891566266,4.1675,OK,090100001110A,010,110A,1598,2505,4.1927,4.1441,4.2099,4.1505,4.1445,4.1837,4.2116,4.1353,4.1516,4.2028,4.158,907.0,56.7584,4.1713,Crecimiento,Diferencia entre SIIEWeb (221) y Estadística 911 (225); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800017,09DML0060L,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 7,Especial - CAM,Álvaro Obregón,-99.251679,19.341988,158,156,158,SIIEWEB,Especial,0.3172690763052209,4.1675,OK,0901000011148,010,1148,1123,1759,4.0962,4.1916,4.1872,4.1765,4.1604,4.1394,4.1841,4.1499,4.1774,4.1333,4.2062,636.0,56.634,4.1638,Crecimiento,Diferencia entre SIIEWeb (158) y Estadística 911 (156); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800018,09DPR1849F,,,,CLUB DE LEONES NUMERO 4,Primaria,Álvaro Obregón,-99.20164,19.371127,388,396,396,911,Primaria,0.010176809210526315,-2.355,OK,0901000010614,010,0614,531,409,-2.2599,-2.3121,-2.3669,-2.4242,-2.2774,-2.3305,-2.3861,-2.4444,-2.2779,-2.331,-2.3866,-122.0,-22.9755,-2.3452,Disminución,Diferencia entre SIIEWeb (388) y Estadística 911 (396); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
