idinmueble,cct1,cct2,cct3,cct4,inmueble,principal,alcaldia,coord_x,coord_y,matricula_siieweb,matricula_911,matricula_base_2024_2025,fuente_matricula_base,nivel_proyeccion,participacion_grupo,tasa_ajustada_pct,estado_proyeccion,CVEGEO_AGEB,CVE_MUN,CVE_AGEB,mat_2024_2025,mat_2035_2036,crecimiento_2024_2025_a_2025_2026_pct,crecimiento_2025_2026_a_2026_2027_pct,crecimiento_2026_2027_a_2027_2028_pct,crecimiento_2027_2028_a_2028_2029_pct,crecimiento_2028_2029_a_2029_2030_pct,crecimiento_2029_2030_a_2030_2031_pct,crecimiento_2030_2031_a_2031_2032_pct,crecimiento_2031_2032_a_2032_2033_pct,crecimiento_2032_2033_a_2033_2034_pct,crecimiento_2033_2034_a_2034_2035_pct,crecimiento_2034_2035_a_2035_2036_pct,cambio_absoluto_2024_2025_a_2035_2036,crecimiento_acumulado_2024_2025_a_2035_2036_pct,tasa_media_anual_pct,tendencia_general,observaciones
801998,09DPR0908Y,,,,TLILALPACATL,Primaria,Iztapalapa,-99.105056,19.372622,329,335,335,911,Primaria,0.002552555984791338,-2.237,OK,090070001038A,007,038A,376,293,-2.3936,-2.1798,-2.2284,-2.2792,-2.3324,-2.0896,-2.1341,-2.4922,-2.2364,-2.2876,-2.0067,-83.0,-22.0745,-2.2419,Disminución,Diferencia entre SIIEWeb (329) y Estadística 911 (335); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
801999,09DPR1194Z,,,,UNIDAD MODELO,Primaria,Iztapalapa,-99.124076,19.367595,174,213,213,911,Primaria,0.0016229684321210597,-2.237,OK,0900700012526,007,2526,239,186,-2.5105,-2.1459,-2.193,-2.2422,-2.2936,-2.3474,-1.9231,-2.451,-2.0101,-2.5641,-2.1053,-53.0,-22.1757,-2.2535,Disminución,Diferencia entre SIIEWeb (174) y Estadística 911 (213); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802000,09DPR2958T,,,,VILLA ESTRELLA,Primaria,Iztapalapa,-99.091417,19.351974,187,196,196,911,Primaria,0.001493435740355529,-2.237,OK,0900700013967,007,3967,220,171,-2.2727,-2.3256,-2.381,-1.9512,-2.4876,-2.0408,-2.0833,-2.6596,-2.1858,-2.2346,-2.2857,-49.0,-22.2727,-2.2645,Disminución,Diferencia entre SIIEWeb (187) y Estadística 911 (196); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802001,09DDI0026J,,,,"CENDI No. 26 ""ENRIQUE PESTALOZZI""",Inicial,Iztapalapa,-99.110563,19.367023,166,62,166,SIIEWEB,Inicial,0.49404761904761907,-3.4046,OK,0900700010708,007,0708,717,490,-3.3473,-3.3189,-3.4328,-3.4003,-3.52,-3.3167,-3.4305,-3.3748,-3.4926,-3.2381,-3.5433,-227.0,-31.6597,-3.4014,Disminución,Diferencia entre SIIEWeb (166) y Estadística 911 (62); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802002,09DPR3289Z,,,,LUIS VARGAS PIÑEIRA,Primaria,Iztapalapa,-99.0492,19.386589,249,259,259,911,Primaria,0.0019734686568983776,-2.237,OK,0900700010144,007,0144,290,226,-2.069,-2.4648,-2.1661,-2.214,-2.2642,-2.3166,-1.9763,-2.4194,-2.0661,-2.1097,-2.5862,-64.0,-22.069,-2.2413,Disminución,Diferencia entre SIIEWeb (249) y Estadística 911 (259); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802222,09DTV0140N,,,,PABLO GONZÁLEZ CASANOVA,Secundaria,Milpa Alta,-99.089775,19.193382,169,174,174,911,Secundaria,0.022322001282873635,-0.5645,OK,0900900330346,009,0346,178,167,-0.5618,-0.565,-0.5682,-0.5714,-0.5747,-0.578,-0.5814,-0.5848,-0.5882,-0.5917,-0.5952,-11.0,-6.1798,-0.5782,Disminución,Diferencia entre SIIEWeb (169) y Estadística 911 (174); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802223,09DES0308X,09DES4308Y,,,NOCHCALCO,Secundaria,Milpa Alta,-99.00092,19.192065,938,1015,1015,911,Secundaria,0.1302116741500962,-0.5645,OK,0900900170384,009,0384,1039,976,-0.5775,-0.5808,-0.4869,-0.5871,-0.5906,-0.5941,-0.498,-0.6006,-0.5035,-0.6073,-0.611,-63.0,-6.0635,-0.567,Disminución,Diferencia entre SIIEWeb (938) y Estadística 911 (1015); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802224,09DPR2035R,09DPR1163F,09DBA0065V,09DBS0023V,AGUSTIN LEGORRETA,Primaria,Milpa Alta,-98.99557,19.218831,1483,1581,1581,911,Primaria,0.11396237295466013,-0.7763,OK,0900900110401,009,0401,1731,1589,-0.8088,-0.7571,-0.7629,-0.7688,-0.7747,-0.7808,-0.7869,-0.7932,-0.738,-0.8055,-0.7495,-142.0,-8.2034,-0.7751,Disminución,Diferencia entre SIIEWeb (1483) y Estadística 911 (1581); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802225,09DES0330Z,,,,ALTEPECALLI,Secundaria,Milpa Alta,-98.990068,19.1767903,693,702,702,911,Secundaria,0.0900577293136626,-0.5645,OK,0900900360242,009,0242,719,675,-0.5563,-0.6993,-0.4225,-0.5658,-0.569,-0.5722,-0.5755,-0.5789,-0.5822,-0.5857,-0.5891,-44.0,-6.1196,-0.5724,Disminución,Diferencia entre SIIEWeb (693) y Estadística 911 (702); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802226,09DPR2032U,09DPR4508C,,,ÁLVARO OBREGÓN,Primaria,Milpa Alta,-99.049381,19.201215,956,1033,1033,911,Primaria,0.07446118359403157,-0.7763,OK,090090029044A,009,044A,1131,1038,-0.7958,-0.713,-0.8079,-0.8145,-0.7299,-0.8272,-0.7414,-0.747,-0.8467,-0.759,-0.7648,-93.0,-8.2228,-0.777,Disminución,Diferencia entre SIIEWeb (956) y Estadística 911 (1033); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802227,09DJN0689L,09DJN0100X,,,AMELIA FIERRO BANDALA,Preescolar,Milpa Alta,-98.995675,19.219859,338,397,397,911,Preescolar,0.12063202673959283,-2.2366,OK,0900900110401,009,0401,492,384,-2.2358,-2.2869,-2.1277,-2.1739,-2.2222,-2.2727,-2.3256,-2.1429,-2.1898,-2.2388,-2.2901,-108.0,-21.9512,-2.2279,Disminución,Diferencia entre SIIEWeb (338) y Estadística 911 (397); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
